fecha;cemento
2004-01-01;466421
2004-02-01;446497.5
2004-03-01;520634.1
2004-04-01;415446.1
2004-05-01;448531.1
2004-06-01;485581.3
2004-07-01;503065.9
2004-08-01;508795.4
2004-09-01;575116.6
2004-10-01;554656.5
2004-11-01;573706.3
2004-12-01;399498.4
2005-01-01;535056.8
2005-02-01;508744.2
2005-03-01;553601
2005-04-01;574342
2005-05-01;580956.5
2005-06-01;528058.6
2005-07-01;603169.6
2005-08-01;673923.3
2005-09-01;721488.3
2005-10-01;705181.9
2005-11-01;737426.3
2005-12-01;692891.6
2006-01-01;648557.1
2006-02-01;647844
2006-03-01;710172.1
2006-04-01;689942.6
2006-05-01;745493.2
2006-06-01;690072.6
2006-07-01;733370.1
2006-08-01;822595.5
2006-09-01;829410.9
2006-10-01;779319.6
2006-11-01;841724.6
2006-12-01;712198.6
2007-01-01;727069.9
2007-02-01;734765.7
2007-03-01;703389.9
2007-04-01;702708.9
2007-05-01;847400.8
2007-06-01;795056
2007-07-01;824601.5
2007-08-01;876500
2007-09-01;776052.4
2007-10-01;878496.9
2007-11-01;947802.5
2007-12-01;779748.6
2008-01-01;812216
2008-02-01;787505
2008-03-01;709548.8
2008-04-01;896773.9
2008-05-01;830456.9
2008-06-01;709098.3
2008-07-01;883141.9
2008-08-01;839195.6
2008-09-01;908192.7
2008-10-01;874600.6
2008-11-01;803467.92
2008-12-01;692038
2009-01-01;728798.7
2009-02-01;684268
2009-03-01;757421.5
2009-04-01;761153.8
2009-05-01;727453
2009-06-01;796636.9
2009-07-01;809183.7
2009-08-01;822139.6
2009-09-01;791461.4
2009-10-01;866585.6
2009-11-01;772759.1
2009-12-01;733488.3
2010-01-01;743563
2010-02-01;692124.2
2010-03-01;871645.6
2010-04-01;819623.5
2010-05-01;771257
2010-06-01;802473.7
2010-07-01;835247.4
2010-08-01;901283.9
2010-09-01;911514.4
2010-10-01;934871.8
2010-11-01;1004211.3
2010-12-01;904291.1
2011-01-01;851247.5
2011-02-01;819491.1
2011-03-01;911932.8
2011-04-01;938740.6
2011-05-01;988185.4
2011-06-01;887565.1
2011-07-01;911313.2
2011-08-01;1008598.7
2011-09-01;1093892
2011-10-01;1002307
2011-11-01;1049969
2011-12-01;922969
2012-01-01;860798
2012-02-01;763164
2012-03-01;952811
2012-04-01;782379
2012-05-01;871478
2012-06-01;888090
2012-07-01;904170
2012-08-01;841123
2012-09-01;889649
2012-10-01;954609
2012-11-01;959567
2012-12-01;787914
2013-01-01;888602
2013-02-01;809267
2013-03-01;915327
2013-04-01;946722
2013-05-01;998196
2013-06-01;913744
2013-07-01;1004648
2013-08-01;1071258
2013-09-01;1042359
2013-10-01;1136672
2013-11-01;1046488
2013-12-01;914744
2014-01-01;910318
2014-02-01;783916
2014-03-01;898807
2014-04-01;895696
2014-05-01;920093
2014-06-01;886097
2014-07-01;949904
2014-08-01;993652
2014-09-01;1045852
2014-10-01;1101043
2014-11-01;996205
2014-12-01;892312
2015-01-01;928200
2015-02-01;885296
2015-03-01;967702
2015-04-01;1045287
2015-05-01;996156
2015-06-01;1055480
2015-07-01;1069622
2015-08-01;977468
2015-09-01;1131223
2015-10-01;1139923
2015-11-01;995497
2015-12-01;933180
2016-01-01;858496
2016-02-01;802256
2016-03-01;885244
2016-04-01;756858
2016-05-01;881663
2016-06-01;859427
2016-07-01;848637
2016-08-01;1044237
2016-09-01;1001131
2016-10-01;931619
2016-11-01;1013084
2016-12-01;940054
2017-01-01;873776
2017-02-01;799340
2017-03-01;1027094
2017-04-01;844323
2017-05-01;967718
2017-06-01;1006666
2017-07-01;1016589
2017-08-01;1122059
2017-09-01;1131545
2017-10-01;1150794
2017-11-01;1179763
2017-12-01;1004298
2018-01-01;1043731
2018-02-01;924085
2018-03-01;1091122
2018-04-01;958184
2018-05-01;924766
2018-06-01;970895
2018-07-01;952280
2018-08-01;1115347
2018-09-01;1011873
2018-10-01;1040317
2018-11-01;970181
2018-12-01;808887
2019-01-01;873987
2019-02-01;921087
2019-03-01;940167
2019-04-01;900938
2019-05-01;964733
2019-06-01;860423
2019-07-01;1000469
2019-08-01;1048460
2019-09-01;938995
2019-10-01;948931
2019-11-01;872207
2019-12-01;732733
2020-01-01;745680
2020-02-01;686602
2020-03-01;502367
2020-04-01;403653
2020-05-01;648543
2020-06-01;797794
2020-07-01;862675
2020-08-01;917234
2020-09-01;1037475
2020-10-01;1070232
2020-11-01;1092245
2020-12-01;976944
2021-01-01;903614
2021-02-01;811698
2021-03-01;974347
2021-04-01;947965
2021-05-01;874188
2021-06-01;961512
2021-07-01;1043234
2021-08-01;1083823
2021-09-01;1110264
2021-10-01;1140962
2021-11-01;1142128
2021-12-01;1025198
2022-01-01;886158
2022-02-01;948858
2022-03-01;1058689
2022-04-01;1049302
2022-05-01;1098485
2022-06-01;1109725
2022-07-01;1152413
2022-08-01;1231313
2022-09-01;1217863
2022-10-01;1135811
2022-11-01;1150824
2022-12-01;936892
2023-01-01;965634
2023-02-01;900152
2023-03-01;1118429
2023-04-01;1035525
2023-05-01;1077128
2023-06-01;1082922
2023-07-01;1069464
2023-08-01;1209674
2023-09-01;1122528
2023-10-01;1133331
2023-11-01;1027315
2023-12-01;817610
2024-01-01;773300
2024-02-01;689283
2024-03-01;639095
2024-04-01;661560
